Teks;Kelas
yes sudah sampai di rumah dengan selamat semangat, MRT Jakarta!;1
mantap MRTJakarta....Padahal yg salah PLN .... ??;1
wah..MRT hebat,para penumpang nya bisa berbaris rapi bgitu ya..;1
@DKIJakarta ini lebih rapi dan enak dilihat kalo kabel2nya lewat bawah tanah. Kaya yg di Cikini, udah rapi.;1
Salut @mrtjakarta. Contoh profesionalisme dan pelayanan publik yang benar  . Heloo..PLN @pln_123 ? Can you ?;1
Bravo @mrtjakarta moda transportasi umum paling paten deh;1
Semoga berjalan lancar. Dan perlu Di informasi lebih banyak sosialisasi prosedurnya bila terjadi seperti ini dikemudian hari;1
Salut dengan tindakan penanggulangan kondisi darurat yang dilakukan oleh tim MRTjakarta. Penumpang selamat, fisik kereta aman, dan stasiun terhindar dari kepanikan. Agar Emergency Procedure MRTJ terus dievaluasi dan diperbaharui guna mengantisipasi hal2 yang tidak diinginkan.;1
Profesionalitas yg tinggi;1
Top @mrtjakarta;1
Pertahankan pekerjaan yang baik;1
Semua konstruksi MRTJ pakai standar gempa 9.0 SR, aman gan sis;1
"Kenapa suka terjadi ""Kartu Tidak Dapat Digunakan"" ya padahal saldo mencukupi? Harus di reset baru berhasil. Hal itu tidak saja menyusahkan penumpang yang mengalami tapi juga bikin antrian panjang & memperlambat penumpang2 lain. FYI, case spt ini tidak terjadi saat tap di TransJakarta. Thx.";0
Lagi dan lagi kejadian seperti ini terjadi. Saldo cukup. Kartu sudah ditahan. TAPI TETAP ERROR SEHINGGA KARTU HARUS DI-RESET! Yang benar saja petugas MRT! TIAP KALI MASA HARUS DI-RESET DULU? Kalian melakukan perbaikan gak sih? ??Jadi jelek nih citra MRT  karena masalah tap. ????;0
Kereta jadwal 8.58 dari dukuh atas, tidak ada petugas security yang melakukan inspeksi penumpang pria yg biasanya rutin di perbatasan gerbong pertama. Sangat Kecewa terhadap petugas security;0
Saran nih, perlu diperluas ini parkiran park and ride nya. Tiap hari parkir di sini, jam 10 sudah lumayan numpuk jadi harus parkir paralel. Terus trotoar ke stasiun, bau pesing dan pinggir - pinggirannya perlu tempat sampah deh, orang - orang suka buang botol minuman + puntung rokok di situ. Nyebelin bgt ??;0
Min tolong dibuatkan koridor (atap) ke Park & Ride agar kalau hujan tetap bisa lewat, yang kedua jalan dari park and ride ke stasiun lebak bulus suka bau pesing;0
Semoga aman semua bapak ibu yang bertugas di sana. Sebaiknya ketika terjadi kekacauan seperti ini, MRT dihentikan dulu saja, demi keamanan semua.;0
Min, tadi beli single trip, tapi pas tapping kok gak bisa digunain? Merah gitu. Itu kenapa ya? Udah ditanya ke loket juga, tp gabisa diganti kartunya. Sebel bgt wkwk Akhirnya;0
Ngomong - ngomong  petugas loket tiket MRT di stasiun lebak bulus  juga gak ramah, jutek @mrtjakarta;0
Pihak MRT seharusnya memperbaiki mesin untuk pembaca kartu tiket, agar lebih cepat lagi kerja mesinnya. Selama ini mesin untuk pembaca kartu semuanya sangat lambat dibandingkan dengan MRT yang ada di Jepang. Dari kejadian dapat tersebut menyebabkan antrian yang sangat panjang. Bukankah pihak MRT mengharapkan lebih banyak penumpang di masa depan?;0
Tapi sih ada beberapa kendala setelah naik MRT selama ini. Sedikit saran aja sih. Di beberapa stasiun, masih terjadi eror saat tap in dan tap out kartu. Mungkin bisa dicek kembali sistemnya.;0
Selalu susah mau beli single trip, rame sekali dan petugasnya lambat banget handel per customer;0
OOT, min kenapa kereta mrt suka bau pesing ya?;0
